BEARINGID,CODE,NAME=型号,MANUFACTURE,DESCRIPTION,BPFO=外圈,BPFI=内圈,BSF=滚子,FTF=保持架,EDITSTATUS
15311,ZC015311,239.85,TORRNGTN,TORRINGTON,19.187,21.813,7.739,0.468,0
15312,ZC015312,23926,TORRNGTN,TORRINGTON SD BEARINGS,14.2206,16.7794,5.9778,0.4587,0
15313,ZC015313,23928,TORRNGTN,TORRINGTON SD BEARINGS,14.7605,17.2395,6.3789,0.4613,0
15314,ZC015314,23930,TORRNGTN,TORRINGTON SD BEARINGS,14.1775,16.8225,5.7766,0.4573,0
15315,ZC015315,23932,TORRNGTN,TORRINGTON SD BEARINGS,15.7051,18.2949,6.4846,0.4619,0
15316,ZC015316,23934,TORRNGTN,TORRINGTON SD BEARINGS,16.2057,18.7943,6.6849,0.463,0
15317,ZC015317,23936,TORRNGTN,TORRINGTON SD BEARINGS,14.7201,17.2799,6.1697,0.46,0
15318,ZC015318,23938,TORRNGTN,TORRINGTON SD BEARINGS,14.7177,17.2823,6.161,0.4599,0
15319,ZC015319,23940,TORRNGTN,TORRINGTON SD BEARINGS,14.6997,17.3003,6.0686,0.4594,0
15320,ZC015320,23944,TORRNGTN,TORRINGTON SD BEARINGS,15.6675,18.3325,6.302,0.4608,0
15321,ZC015321,23948,TORRNGTN,TORRINGTON SD BEARINGS,17.7021,20.2979,7.2476,0.4658,0
15322,ZC015322,23952,TORRNGTN,TORRINGTON SD BEARINGS,15.1907,17.8093,6.2199,0.4603,0
15323,ZC015323,23956,TORRNGTN,TORRINGTON CJ-YM BEARINGS,15.6804,18.3196,6.3584,0.4612,0
15324,ZC015324,23960,TORRNGTN,TORRINGTON SD BEARINGS,13.6968,16.3032,5.6715,0.4566,0
15325,ZC015325,23964,TORRNGTN,TORRINGTON SD BEARINGS,15.6514,18.3486,6.2235,0.4603,0
15326,ZC015326,23968,TORRNGTN,TORRINGTON CJ-YM BEARINGS,16.1551,18.8449,6.4234,0.4616,0
15327,ZC015327,23972,TORRNGTN,TORRINGTON SD BEARINGS,17.158,19.842,6.8207,0.4637,0
15328,ZC015328,23976,TORRNGTN,TORRINGTON SD BEARINGS,15.6437,18.3563,6.1881,0.4601,0
15329,ZC015329,23984,TORRNGTN,TORRINGTON SD BEARINGS,17.1533,19.8467,6.7963,0.4636,0
15330,ZC015330,23988,TORRNGTN,TORRINGTON SD BEARINGS,16.1446,18.8554,6.3796,0.4613,0
15331,ZC015331,23992,TORRNGTN,TORRINGTON,17.706,20.2914,7.278,0.4662,0
15332,ZC015332,23996,TORRNGTN,TORRINGTON SD BEARINGS,16.15,18.85,6.4054,0.4614,0
15333,ZC015333,240-1000,TORRNGTN,TORRINGTON SD BEARINGS,13.6761,16.3239,5.5484,0.4559,0
15334,ZC015334,240-1060,TORRNGTN,TORRINGTON SD BEARINGS,13.6871,16.3129,5.5945,0.4562,0
15335,ZC015335,240-1120,TORRNGTN,TORRINGTON SD BEARINGS,13.7008,16.2992,5.6546,0.4567,0
15336,ZC015336,240-1180,TORRNGTN,TORRINGTON SD BEARINGS,14.6744,17.3256,5.9185,0.4586,0
15337,ZC015337,240-1250,TORRNGTN,TORRINGTON SD BEARINGS,14.6747,17.3253,5.9204,0.4586,0
15338,ZC015338,240-500,TORRNGTN,TORRINGTON SD BEARINGS,13.6793,16.3207,5.5547,0.456,0
15339,ZC015339,240-530,TORRNGTN,TORRINGTON SD BEARINGS,12.6676,15.3324,5.1218,0.4524,0
15340,ZC015340,240-560,TORRNGTN,TORRINGTON SD BEARINGS,12.2583,14.7417,5.3064,0.454,0
15341,ZC015341,240-600,TORRNGTN,TORRINGTON SD BEARINGS,12.6946,15.3054,5.2349,0.4534,0
15342,ZC015342,240-630,TORRNGTN,TORRINGTON SD BEARINGS,12.671,15.329,5.1383,0.4525,0
15343,ZC015343,240-670,TORRNGTN,TORRINGTON SD BEARINGS,12.668,15.332,5.1271,0.4524,0
15344,ZC015344,240-710,TORRNGTN,TORRINGTON SD BEARINGS,12.6933,15.3067,5.2328,0.4533,0
15345,ZC015345,240-750,TORRNGTN,TORRINGTON SD BEARINGS,12.6888,15.3112,5.2135,0.4532,0
15346,ZC015346,240-800,TORRNGTN,TORRINGTON SD BEARINGS,13.1773,15.8227,5.3598,0.4544,0
15347,ZC015347,240-850,TORRNGTN,TORRINGTON SD BEARINGS,14.1445,16.8555,5.5955,0.4563,0
